Zeit	Kanal A	Kanal B
(s)	(V)	(V)
-17.78888837	0.17273480	1.26041400
-17.78755437	0.17273480	1.26804400
-17.78622037	0.17273480	1.27567400
-17.78488637	0.17197180	1.27567400
-17.78355237	0.17197180	1.28177800
-17.78221837	0.17197180	1.28177800
-17.78088437	0.17349770	1.28940700
-17.77955037	0.17410810	1.28940700
-17.77821637	0.17410810	1.29551100
-17.77688237	0.17410810	1.29551100
-17.77554837	0.17349770	1.30314000
-17.77421437	0.17349770	1.30314000
-17.77288037	0.17349770	1.31077000
-17.77154637	0.17410810	1.31077000
-17.77021237	0.17487110	1.31687400
-17.76887837	0.17487110	1.31687400
-17.76754437	0.17487110	1.32450300
-17.76621037	0.17410810	1.33060700
-17.76487637	0.17349770	1.33060700
-17.76354237	0.17349770	1.33060700
-17.76220837	0.17349770	1.33060700
-17.76087437	0.17349770	1.33823700
-17.75954037	0.17410810	1.33823700
-17.75820637	0.17410810	1.33823700
-17.75687237	0.17349770	1.33823700
-17.75553837	0.17273480	1.34586600
-17.75420437	0.17273480	1.35197000
-17.75287037	0.17273480	1.35197000
-17.75153637	0.17349770	1.35197000
-17.75020237	0.17349770	1.35197000
-17.74886837	0.17410810	1.35197000
-17.74753437	0.17487110	1.35197000
-17.74620037	0.17410810	1.35197000
-17.74486637	0.17349770	1.35960000
-17.74353237	0.17349770	1.35960000
-17.74219837	0.17349770	1.35960000
-17.74086437	0.17487110	1.36570300
-17.73953037	0.17624440	1.37333300
-17.73819637	0.17624440	1.37333300
-17.73686237	0.17624440	1.38096300
-17.73552837	0.17624440	1.38096300
-17.73419437	0.17624440	1.39469600
-17.73286037	0.17624440	1.39469600
-17.73152637	0.17624440	1.40080000
-17.73019237	0.17777030	1.40842900
-17.72885837	0.17914370	1.40842900
-17.72752437	0.17914370	1.40842900
-17.72619037	0.17838070	1.40842900
-17.72485637	0.17777030	1.41605900
-17.72352237	0.17700740	1.42216300
-17.72218837	0.17700740	1.42979200
-17.72085437	0.17777030	1.42979200
-17.71952037	0.17838070	1.43589600
-17.71818637	0.17838070	1.43589600
-17.71685237	0.17777030	1.44352600
-17.71551837	0.17777030	1.44352600
-17.71418437	0.17777030	1.45115500
-17.71285037	0.17777030	1.45725900
-17.71151637	0.17838070	1.46488800
-17.71018237	0.17975400	1.47099200
-17.70884837	0.17975400	1.47862200
-17.70751437	0.17975400	1.47862200
-17.70618037	0.17975400	1.48625100
-17.70484637	0.17975400	1.49235500
-17.70351237	0.17975400	1.49998500
-17.70217837	0.17975400	1.50761400
-17.70084437	0.18051700	1.51371800
-17.69951037	0.18127990	1.52134800
-17.69817637	0.18127990	1.52745100
-17.69684237	0.18051700	1.53508100
-17.69550837	0.17975400	1.54271100
-17.69417437	0.17975400	1.54881400
-17.69284037	0.17975400	1.55644400
-17.69150637	0.18051700	1.56254800
-17.69017237	0.18189030	1.57017700
-17.68883837	0.18265330	1.57780700
-17.68750437	0.18265330	1.57780700
-17.68617037	0.18189030	1.57780700
-17.68483637	0.18051700	1.57780700
-17.68350237	0.18051700	1.58391100
-17.68216837	0.18051700	1.59154000
-17.68083437	0.18189030	1.59154000
-17.67950037	0.18189030	1.59764400
-17.67816637	0.18189030	1.60527400
-17.67683237	0.18189030	1.61290300
-17.67549837	0.18127990	1.61900700
-17.67416437	0.18127990	1.62663700
-17.67283037	0.18127990	1.63274000
-17.67149637	0.18265330	1.64037000
-17.67016237	0.18402660	1.64037000
-17.66882837	0.18478960	1.64800000
-17.66749437	0.18478960	1.65410300
-17.66616037	0.18478960	1.66173300
-17.66482637	0.18478960	1.66936300
-17.66349237	0.18478960	1.67546600
-17.66215837	0.18402660	1.68309600
-17.66082437	0.18555250	1.68919900
-17.65949037	0.18692590	1.68919900
-17.65815637	0.18692590	1.69682900
-17.65682237	0.18616290	1.70445900
-17.65548837	0.18478960	1.70445900
-17.65415437	0.18402660	1.71056200
-17.65282037	0.18402660	1.71819200
-17.65148637	0.18478960	1.71819200
-17.65015237	0.18555250	1.72429600
-17.64881837	0.18616290	1.72429600
-17.64748437	0.18616290	1.73192500
-17.64615037	0.18616290	1.73192500
-17.64481637	0.18555250	1.73192500
-17.64348237	0.18478960	1.73955500
-17.64214837	0.18478960	1.74565900
-17.64081437	0.18616290	1.75328800
-17.63948037	0.18616290	1.75328800
-17.63814637	0.18616290	1.75328800
-17.63681237	0.18616290	1.75328800
-17.63547837	0.18555250	1.75939200
-17.63414437	0.18555250	1.75939200
